Food Item,Category,Alternative,Food_ID,Alternative_ID
cucumber,Vegetable,cauliflower,34,18
tuna,Seafood,seaweed,93,80
onion,Vegetable,cauliflower,65,18
cornmeal,Grain,quinoa,31,75
crab,Seafood,tofu,32,91
barley,Grain,quinoa,6,75
tuna,Seafood,tofu,93,91
crab,Seafood,jackfruit,32,54
spinach,Vegetable,sweet potato,86,89
yogurt,Dairy,cashew cheese,98,16
carrot,Vegetable,bell peppers,15,8
soybeans,Legumes,black beans,85,9
ghee,Dairy,soy milk,45,84
strawberries,Fruit,dried fruits,87,36
oats,Grain,amaranth,64,2
broccoli,Vegetable,cauliflower,11,18
turkey,Meat,jackfruit,94,54
carrot,Vegetable,pumpkin,15,73
turkey,Meat,lentils,94,57
turmeric,Spices,cardamom,95,14
butter,Dairy,cashew cheese,13,16
strawberries,Fruit,frozen fruits,87,42
peanuts,Nuts,pumpkin seeds,70,74
hazelnuts,Nuts,pumpkin seeds,50,74
quinoa,Grain,buckwheat,75,12
chickpeas,Legumes,navy beans,22,61
cornmeal,Grain,rice flour,31,77
crab,Seafood,hearts of palm,32,51
nutmeg,Spices,ginger,62,46
quinoa,Grain,rice flour,75,77
hazelnuts,Nuts,sesame seeds,50,82
tuna,Seafood,seaweed,93,80
hazelnuts,Nuts,sunflower seeds,50,88
hazelnuts,Nuts,flaxseeds,50,41
rice,Grain,quinoa,76,75
apple,Fruit,fruit puree,3,44
nutmeg,Spices,cardamom,62,14
pistachios,Nuts,sunflower seeds,71,88
milk,Beverages,fruit juice,59,43
cumin,Spices,cloves,35,24
banana,Fruit,coconut,5,25
soybeans,Legumes,navy beans,85,61
lamb,Meat,lentils,56,57
cinnamon,Spices,cloves,23,24
cumin,Spices,ginger,35,46
cheese,Dairy,almond milk,19,0
nutmeg,Spices,fennel,62,39
peach,Fruit,coconut,69,25
walnuts,Nuts,pumpkin seeds,96,74
peanuts,Nuts,sunflower seeds,70,88
peanuts,Nuts,sunflower seeds,70,88
cumin,Spices,fennel,35,39
cashews,Nuts,pumpkin seeds,17,74
barley,Grain,buckwheat,6,12
nutmeg,Spices,cloves,62,24
chicken,Meat,jackfruit,21,54
lentils,Legumes,edamame,57,38
tomato,Vegetable,cauliflower,92,18
barley,Grain,corn flour,6,30
onion,Vegetable,sweet potato,65,89
cheese,Dairy,almond milk,19,0
green tea,Beverages,hemp milk,49,52
grapes,Fruit,avocado,47,4
coffee,Beverages,rice milk,28,78
cucumber,Vegetable,sweet potato,34,89
pork,Meat,tofu,72,91
pork,Meat,jackfruit,72,54
almond milk,Beverages,rice milk,0,78
pork,Meat,seitan,72,81
green tea,Beverages,rice milk,49,78
mango,Fruit,fruit puree,58,44
onion,Vegetable,zucchini,65,99
almonds,Nuts,flaxseeds,1,41
soy milk,Beverages,hemp milk,84,52
wheat flour,Grain,buckwheat,97,12
yogurt,Dairy,coconut yogurt,98,27
salmon,Seafood,tofu,79,91
duck,Meat,jackfruit,37,54
onion,Vegetable,cauliflower,65,18
soybeans,Legumes,black beans,85,9
broccoli,Vegetable,bell peppers,11,8
nutmeg,Spices,cloves,62,24
yogurt,Dairy,cashew cheese,98,16
apple,Fruit,frozen fruits,3,42
peach,Fruit,fruit puree,69,44
pistachios,Nuts,flaxseeds,71,41
butter,Dairy,almond milk,13,0
shrimp,Seafood,tofu,83,91
onion,Vegetable,zucchini,65,99
yogurt,Dairy,coconut yogurt,98,27
banana,Fruit,fruit puree,5,44
soybeans,Legumes,navy beans,85,61
apple,Fruit,dried fruits,3,36
cucumber,Vegetable,cauliflower,34,18
cheese,Dairy,cashew cheese,19,16
pistachios,Nuts,flaxseeds,71,41
green tea,Beverages,hemp milk,49,52
black pepper,Spices,coriander,10,29
coconut water,Beverages,rice milk,26,78
green tea,Beverages,rice milk,49,78
shrimp,Seafood,tofu,83,91
tomato,Vegetable,sweet potato,92,89
strawberries,Fruit,avocado,87,4
oysters,Seafood,jackfruit,66,54
milk,Beverages,oat milk,59,63
turmeric,Spices,fennel,95,39
milk,Beverages,oat milk,59,63
black pepper,Spices,coriander,10,29
shrimp,Seafood,seaweed,83,80
cashews,Nuts,sesame seeds,17,82
chickpeas,Legumes,edamame,22,38
oats,Grain,quinoa,64,75
spinach,Vegetable,sweet potato,86,89
kidney beans,Legumes,green peas,55,48
ghee,Dairy,soy milk,45,84
shrimp,Seafood,tofu,83,91
peach,Fruit,coconut,69,25
cucumber,Vegetable,cauliflower,34,18
cashews,Nuts,sunflower seeds,17,88
hazelnuts,Nuts,pumpkin seeds,50,74
crab,Seafood,mushrooms,32,60
paneer,Dairy,cashew cheese,67,16
crab,Seafood,seaweed,32,80
beef,Meat,seitan,7,81
green tea,Beverages,oat milk,49,63
chickpeas,Legumes,black beans,22,9
black beans,Legumes,black beans,9,9
grapes,Fruit,fruit puree,47,44
grapes,Fruit,frozen fruits,47,42
apple,Fruit,coconut,3,25
apple,Fruit,dried fruits,3,36
apple,Fruit,coconut,3,25
hazelnuts,Nuts,chia seeds,50,20
peach,Fruit,frozen fruits,69,42
soybeans,Legumes,green peas,85,48
beef,Meat,tofu,7,91
quinoa,Grain,buckwheat,75,12
black pepper,Spices,coriander,10,29
cornmeal,Grain,quinoa,31,75
carrot,Vegetable,bell peppers,15,8
kidney beans,Legumes,kidney beans,55,55
cream,Dairy,coconut yogurt,33,27
pistachios,Nuts,chia seeds,71,20
cucumber,Vegetable,pumpkin,34,73
milk,Beverages,fruit juice,59,43
beef,Meat,lentils,7,57
cumin,Spices,cardamom,35,14
shrimp,Seafood,mushrooms,83,60
rice,Grain,rice flour,76,77
pork,Meat,seitan,72,81
onion,Vegetable,bell peppers,65,8
salmon,Seafood,jackfruit,79,54
tomato,Vegetable,sweet potato,92,89
almonds,Nuts,pumpkin seeds,1,74
black beans,Legumes,black beans,9,9
cream,Dairy,coconut yogurt,33,27
tomato,Vegetable,bell peppers,92,8
beef,Meat,tofu,7,91
wheat flour,Grain,quinoa,97,75
oysters,Seafood,seaweed,66,80
cream,Dairy,coconut yogurt,33,27
coffee,Beverages,hemp milk,28,52
cucumber,Vegetable,zucchini,34,99
milk,Beverages,rice milk,59,78
lamb,Meat,tofu,56,91
tomato,Vegetable,bell peppers,92,8
turmeric,Spices,coriander,95,29
strawberries,Fruit,fruit puree,87,44
almond milk,Beverages,herbal tea,0,53
cream,Dairy,almond milk,33,0
strawberries,Fruit,fruit puree,87,44
turkey,Meat,seitan,94,81
apple,Fruit,frozen fruits,3,42
butter,Dairy,cashew cheese,13,16
cheese,Dairy,soy milk,19,84
black pepper,Spices,ginger,10,46
coffee,Beverages,rice milk,28,78
lentils,Legumes,black beans,57,9
hazelnuts,Nuts,flaxseeds,50,41
kidney beans,Legumes,green peas,55,48
coconut water,Beverages,hemp milk,26,52
black beans,Legumes,black beans,9,9
yogurt,Dairy,coconut yogurt,98,27
oysters,Seafood,tofu,66,91
quinoa,Grain,quinoa,75,75
cumin,Spices,cloves,35,24
ghee,Dairy,coconut yogurt,45,27
spinach,Vegetable,bell peppers,86,8
coffee,Beverages,rice milk,28,78
barley,Grain,corn flour,6,30
hazelnuts,Nuts,chia seeds,50,20
quinoa,Grain,buckwheat,75,12
apple,Fruit,avocado,3,4
apple,Fruit,fruit puree,3,44
oats,Grain,amaranth,64,2
cinnamon,Spices,fennel,23,39
milk,Dairy,almond milk,59,0
beef,Meat,tofu,7,91
carrot,Vegetable,cauliflower,15,18
cornmeal,Grain,buckwheat,31,12
yogurt,Dairy,cashew cheese,98,16
peach,Fruit,coconut,69,25
cornmeal,Grain,rice flour,31,77
shrimp,Seafood,hearts of palm,83,51
crab,Seafood,hearts of palm,32,51
milk,Beverages,rice milk,59,78
coconut water,Beverages,herbal tea,26,53
strawberries,Fruit,dried fruits,87,36
almond milk,Beverages,oat milk,0,63
broccoli,Vegetable,cauliflower,11,18
black beans,Legumes,black beans,9,9
milk,Dairy,almond milk,59,0
oats,Grain,corn flour,64,30
chicken,Meat,jackfruit,21,54
chickpeas,Legumes,green peas,22,48
peach,Fruit,coconut,69,25
butter,Dairy,soy milk,13,84
coconut water,Beverages,herbal tea,26,53
soybeans,Legumes,kidney beans,85,55
broccoli,Vegetable,pumpkin,11,73
pistachios,Nuts,pumpkin seeds,71,74
